qid,aid1,pid1,act1,aid2,pid2,act2,sim,rel,ma,pac
1_1,385,79,shop at target for essentials,4910,995,go grocery shopping,3.22222,3.33333,3.55556,1.22222
1_2,4255,864,sleep,1382,287,sleep in,3.22222,3.66667,2.77778,2.0
1_3,2956,604,feed one's cats,1996,412,groom one's dog,1.44444,2.22222,2.66667,1.33333
1_4,4284,870,go jogging,4399,893,lift weights,1.66667,2.22222,2.88889,1.11111
1_5,4577,928,drive,4853,983,drive to work,3.66667,3.77778,3.22222,2.0
1_6,4102,833,plan a vacation,4815,976,play video games,0.22222,0.44444,1.11111,-0.22222
1_7,2571,527,eat at a restaurant one has never been to,2013,415,buy a new dress,0.44444,0.44444,1.44444,0.33333
1_8,2351,483,travel to philadelphia for a meeting,1227,255,travel by van from oregon to california,2.11111,1.66667,1.22222,0.11111
1_9,3070,627,play with one's kids,4868,986,watch tv,0.22222,0.44444,0.33333,-0.77778
1_10,4930,999,do laundry,3510,715,check one's emails in one's hotmail account,0.11111,0.11111,0.33333,-0.0
1_11,204,42,work one's last day at one's old job,2099,432,do work/homework,2.11111,2.66667,2.55556,0.66667
1_12,3871,787,walk to get lunch while at work,375,76,walk one's dog through the neighborhood,1.77778,1.66667,1.33333,0.44444
1_13,135,28,talk on the phone to one's lover,4727,958,kiss one's spouse,1.11111,1.77778,2.33333,0.88889
1_14,2503,513,walk one's two dogs around the neighborhood,4889,991,take one's pets to the vet,1.44444,2.11111,2.77778,1.0
1_15,4012,815,work at the gun shop everyday,4009,815,sell guns at work,3.55556,3.88889,3.66667,1.77778
1_16,2144,441,wash laundry,1511,314,sing at church,0.0,0.0,0.0,-0.22222
1_17,4930,999,do laundry,4759,965,clean the house,2.44444,2.77778,3.33333,1.33333
1_18,4527,918,play golf,2925,598,play softball,2.11111,2.44444,3.44444,0.55556
1_19,3090,631,shop at the thrift store,4731,959,go for a run,0.0,0.11111,0.0,-0.11111
1_20,4910,995,go grocery shopping,4720,957,eat out,0.0,0.55556,1.88889,-1.22222
1_21,1549,322,go to dinner with one's brother's family,4812,975,eat dinner with one's family and friend,3.66667,3.44444,4.0,1.22222
1_22,2925,598,play softball,3102,633,play baseball,3.44444,3.88889,3.88889,0.77778
1_23,1476,307,get up at 4,3589,731,take spouse to work,0.44444,0.77778,0.77778,0.66667
1_24,310,63,watch fire works with family,4637,940,spend time with family,2.88889,3.55556,3.44444,1.44444
1_25,3101,633,go out for vietnamese food,93,19,go to a chinese buffet,2.66667,2.88889,3.55556,0.88889
2_1,925,191,play with one's cat as she chases a ball of string,4170,847,do homework,0.1,0.2,0.3,-0.2
2_2,3484,710,read a book before going to sleep,3886,790,drink tea,0.6,0.8,1.3,0.5
2_3,4169,847,go to a cookout,3820,777,grill meat on a charcoal grill,2.9,3.4,3.8,1.4
2_4,4714,956,spend time with boyfriend,2654,543,write an email to try to figure out what is going on with one's financial aid,0.1,0.0,0.1,-0.7
2_5,4759,965,clean the house,3942,801,watch parks and recreation for 5 hours,0.2,0.3,0.2,-0.9
2_6,4569,927,eat dinner with one's boyfriend,4735,960,go on a date,2.9,3.2,3.5,1.5
2_7,4928,998,read a book,4081,829,read newspaper,3.2,2.5,3.2,0.9
2_8,1616,336,go to a mass,302,61,say nightly prayers,2.7,3.3,3.9,1.5
2_9,1606,334,donate blankets,947,196,volunteer at a local hospital,1.5,2.1,3.3,1.5
2_10,3062,625,worry about money and time,974,202,rearrange one's work schedule in an attempt to increase one's productivity,1.9,2.7,3.1,1.1
2_11,2891,591,sit on one's couch,3491,711,train to be an employee of kroger,0.2,0.2,0.4,-0.8
2_12,4934,1000,take surveys,2581,529,work very diligently on improving one's data entry skills at one's home business to supplement income,1.2,1.9,2.1,1.0
2_13,2925,598,play softball,4813,975,play baseball with one's oldest son,2.9,2.8,3.0,0.7
2_14,4589,931,have dinner with family daily every evening,2884,589,read the new anthology with christine feehan in it,0.1,0.1,0.3,-0.2
2_15,4899,993,read,4651,943,watch football all day this past sunday,0.2,0.4,1.0,-1.0
2_16,4750,963,exercise,4858,984,go to the gym,3.5,3.9,4.0,1.6
2_17,4535,920,hang out with friends,2356,484,hang out at one's sister in laws house with our kids,2.2,2.2,2.7,-0.3
2_18,4634,940,check email,4084,830,fill out paperwork for a new part time job,0.7,1.3,1.2,0.5
2_19,4868,986,watch tv,1658,344,take a bath and read entertainment weekly,0.3,1.0,1.7,0.2
2_20,2494,511,wash one's car,2699,552,bring the car in to have the battery checked,1.0,2.2,2.5,0.9
2_21,4646,942,buy a ball pit for baby,3163,645,plan lessons,0.2,0.4,0.3,-0.3
2_22,371,75,watch the us open golf tournament,219,44,attend rcw wrestling show,1.4,1.6,2.3,-0.3
2_23,4184,850,work out at the gym,4399,893,lift weights,3.6,3.7,3.8,1.7
2_24,1526,317,do a ton of laundry,3874,788,test a new cupcake recipe,0.3,0.5,0.6,0.1
2_25,4173,847,make dinner for friends,4511,915,binge watch a tv show on netflix,0.2,0.2,0.5,-0.8
3_1,2817,576,facebook,2090,431,check facebook,3.11111,3.22222,2.88889,1.66667
3_2,4930,999,do laundry,4930,999,do laundry,3.88889,3.88889,4.0,2.0
3_3,4750,963,exercise,512,106,attend a sporting event,1.0,1.44444,1.22222,0.77778
3_4,4634,940,check email,4239,861,write an email,1.77778,3.33333,2.66667,1.22222
3_5,4896,992,study real estate,3628,738,go to college,1.55556,2.11111,2.33333,0.33333
3_6,166,34,have a birthday party for a step-daughter,3819,777,bake a cake,0.88889,2.11111,2.33333,1.11111
3_7,1234,257,go shopping at the flea market,4751,963,drive one's car,0.44444,0.44444,0.66667,0.44444
3_8,2077,428,kiss one's fiancee/fiance,2611,535,hug one's fiancee/fiance,2.22222,3.33333,3.22222,1.22222
3_9,3133,639,practice scales on guitar,4255,864,sleep,0.0,0.0,0.22222,-0.55556
3_10,4928,998,read a book,376,76,watch a baseball game at the sports pub,0.11111,0.44444,1.11111,-0.77778
3_11,3429,699,trim an oak tree in one's backyard,1491,310,rake the yard and pick up and dispose of yard waste,1.55556,2.66667,3.0,0.88889
3_12,2876,588,go to a family gathering,4447,902,go out to eat,1.11111,1.55556,2.0,1.0
3_13,4431,899,teach children,364,73,apply for part-time teaching jobs,1.55556,2.55556,2.88889,1.66667
3_14,3338,680,look for jobs,4449,903,go on a job interview,2.33333,3.44444,3.66667,1.88889
3_15,1052,218,go out to eat dinner at olive garden,4735,960,go on a date,1.44444,1.44444,1.33333,0.11111
3_16,1851,383,speak with friends,2928,598,go to the doctor for sinus infection,0.0,0.0,0.0,-0.0
3_17,3779,769,write a poem,3204,653,read a novel,0.88889,1.0,1.66667,-0.11111
3_18,3875,788,pay one's student loan bill,1657,344,pay one's credit card bill online,2.22222,2.22222,2.88889,0.66667
3_19,1224,255,surf the internet for new places to travel,2489,510,cook a hot meal for one's fiancee/fiance,0.11111,0.11111,0.44444,-0.44444
3_20,1752,363,rest in bed,3502,713,walk and do jumping jacks,0.0,0.0,0.0,-1.22222
3_21,883,182,commute to work,4315,876,take the bus and make it on time to work,3.11111,3.22222,3.44444,0.55556
3_22,4385,890,study,4764,966,walk one's dog,0.0,0.0,0.0,-0.66667
3_23,1,0,clean the bathtub,1395,290,clean one's restroom thoroughly. toilet,3.0,3.55556,3.55556,1.22222
3_24,1212,252,play disc golf,2826,578,play tabletop games,1.22222,1.66667,2.66667,0.33333
3_25,2835,580,go to the casino,3507,714,go drinking,0.66667,1.66667,2.33333,0.88889
4_1,4462,905,play a video game,2233,459,study abstract algebra,0.0,0.0,0.0,-1.3
4_2,4085,830,take one's daughter to get her sr school schedule,1710,355,talk with one's kids,1.5,1.8,2.3,1.9
4_3,1148,239,hike with one's dog,2522,517,hike with friends,2.3,2.3,2.4,0.7
4_4,1718,356,have dinner with one's family,2230,459,practice the violin,0.0,0.1,0.2,-0.1
4_5,4634,940,check email,4930,999,do laundry,0.2,0.3,0.3,-0.0
4_6,4596,932,play basketball,2893,591,meet up with a friend and play basketball for the entire afternoon,3.7,3.5,3.4,1.9
4_7,3095,632,play video games with spouse via lan,4105,834,play bar trivia with a group of friends,1.2,1.4,1.6,-0.2
4_8,4910,995,go grocery shopping,4909,995,cook dinner,1.8,2.5,3.0,1.6
4_9,4210,855,play cards,912,189,play board games with friends,2.8,2.9,3.3,1.3
4_10,3406,694,watch monday night raw,1201,250,watch a fighting game tournament,2.3,2.6,3.0,0.9
4_11,3922,797,read a science fiction novel,4901,993,go to the beach,0.4,0.9,1.8,0.3
4_12,4823,977,wash dishes,4824,978,clean house,2.8,3.3,3.7,1.8
4_13,4750,963,exercise,4595,932,go for a walk,3.1,3.4,3.7,1.4
4_14,4910,995,go grocery shopping,4065,826,do yard work,0.9,1.3,1.7,-0.0
4_15,1507,313,go bowling,3804,774,run on treadmill,0.4,0.6,0.7,0.5
4_16,3156,644,go to the doctor,3470,707,see the doctor,4.0,3.9,4.0,1.9
4_17,4731,959,go for a run,4367,886,go on a jog,4.0,3.9,4.0,2.0
4_18,4930,999,do laundry,3470,707,see the doctor,0.1,0.0,0.1,0.1
4_19,4726,958,clean,4930,999,do laundry,3.1,3.3,3.5,1.8
4_20,3977,808,take the cat to the vet,4789,971,play with cat,1.1,1.7,2.0,1.7
4_21,4333,879,walk over five miles,1149,240,pay the bills,0.0,0.0,0.1,0.4
4_22,4815,976,play video games,1199,250,go to gamestop,1.7,2.7,3.0,1.8
4_23,3474,708,do a million loads of laundry,4396,892,fold laundry,2.7,3.3,3.4,1.9
4_24,4729,959,go out for ice cream,3415,696,do cardio,0.0,0.1,0.1,-0.8
4_25,4183,849,have one's broken arm repaired with surgery,622,129,do a kickboxing lesson,0.3,0.2,0.5,0.5
5_1,4603,933,read webcomics and fanfiction,3533,719,read some interesting fiction,3.2,3.0,2.8,1.2
5_2,3533,719,read some interesting fiction,374,75,read fanfiction,3.1,3.2,3.0,1.5
5_3,4326,878,play video games with friends,4719,957,play computer games,3.3,3.3,3.2,0.9
5_4,4578,928,draw,4460,905,sketch ideas for sculptures,2.8,3.1,2.7,1.5
5_5,4245,862,clean one's house,4930,999,do laundry,1.6,2.2,3.1,1.7
5_6,4460,905,sketch ideas for sculptures,3367,686,eat out at a new restuarant,0.0,0.0,0.0,-0.2
